video_file,label,fps,num_frame,height,width,duration
v_feeding_g01_716.avi,Feeding,30.0,281.0,800.0,1100.0,9.366666666666667
v_feeding_g01_266.avi,Feeding,30.0,250.0,800.0,1100.0,8.333333333333334
v_feeding_g01_514.avi,Feeding,30.0,580.0,800.0,1100.0,19.333333333333332
v_feeding_g01_528.avi,Feeding,30.0,210.0,800.0,1100.0,7.0
v_feeding_g01_312.avi,Feeding,30.0,193.0,800.0,1100.0,6.433333333333334
v_feeding_g01_474.avi,Feeding,30.0,90.0,800.0,1100.0,3.0
v_feeding_g01_306.avi,Feeding,30.0,111.0,800.0,1100.0,3.7
v_feeding_g01_676.avi,Feeding,30.0,813.0,800.0,1100.0,27.1
v_feeding_g01_110.avi,Feeding,30.0,924.0,800.0,1100.0,30.8
v_feeding_g01_104.avi,Feeding,30.0,213.0,800.0,1100.0,7.1
v_feeding_g01_37.avi,Feeding,30.0,251.0,800.0,1100.0,8.366666666666667
v_feeding_g01_23.avi,Feeding,30.0,150.0,800.0,1100.0,5.0
v_feeding_g01_138.avi,Feeding,30.0,1276.0,800.0,1100.0,42.53333333333333
v_feeding_g01_689.avi,Feeding,30.0,351.0,800.0,1100.0,11.7
v_feeding_g01_844.avi,Feeding,30.0,1129.0,800.0,1100.0,37.63333333333333
v_feeding_g01_688.avi,Feeding,30.0,686.0,800.0,1100.0,22.866666666666667
v_feeding_g01_139.avi,Feeding,30.0,210.0,800.0,1100.0,7.0
v_feeding_g01_22.avi,Feeding,30.0,292.0,800.0,1100.0,9.733333333333333
v_feeding_g01_111.avi,Feeding,30.0,150.0,800.0,1100.0,5.0
v_feeding_g01_449.avi,Feeding,30.0,170.0,800.0,1100.0,5.666666666666667
v_feeding_g01_461.avi,Feeding,30.0,99.0,800.0,1100.0,3.3
v_feeding_g01_313.avi,Feeding,30.0,436.0,800.0,1100.0,14.533333333333333
v_feeding_g01_475.avi,Feeding,30.0,150.0,800.0,1100.0,5.0
v_feeding_g01_529.avi,Feeding,30.0,53.0,800.0,1100.0,1.7666666666666666
v_feeding_g01_515.avi,Feeding,30.0,105.0,800.0,1100.0,3.5
v_feeding_g01_273.avi,Feeding,30.0,571.0,800.0,1100.0,19.033333333333335
v_feeding_g01_267.avi,Feeding,30.0,114.0,800.0,1100.0,3.8
v_feeding_g01_501.avi,Feeding,30.0,162.0,800.0,1100.0,5.4
v_feeding_g01_717.avi,Feeding,30.0,85.0,800.0,1100.0,2.8333333333333335
v_feeding_g01_715.avi,Feeding,30.0,480.0,800.0,1100.0,16.0
v_feeding_g01_701.avi,Feeding,30.0,329.0,800.0,1100.0,10.966666666666667
v_feeding_g01_271.avi,Feeding,30.0,208.0,800.0,1100.0,6.933333333333334
v_feeding_g01_517.avi,Feeding,30.0,130.0,800.0,1100.0,4.333333333333333
v_feeding_g01_503.avi,Feeding,30.0,941.0,800.0,1100.0,31.366666666666667
v_feeding_g01_265.avi,Feeding,30.0,104.0,800.0,1100.0,3.466666666666667
v_feeding_g01_305.avi,Feeding,30.0,141.0,800.0,1100.0,4.7
v_feeding_g01_311.avi,Feeding,30.0,79.0,800.0,1100.0,2.6333333333333333
v_feeding_g01_339.avi,Feeding,30.0,139.0,800.0,1100.0,4.633333333333334
v_feeding_g01_488.avi,Feeding,30.0,86.0,800.0,1100.0,2.8666666666666667
v_feeding_g01_107.avi,Feeding,30.0,314.0,800.0,1100.0,10.466666666666667
v_feeding_g01_847.avi,Feeding,30.0,120.0,800.0,1100.0,4.0
v_feeding_g01_35.avi,Feeding,30.0,64.0,800.0,1100.0,2.1333333333333333
v_feeding_g01_648.avi,Feeding,30.0,21.0,800.0,1100.0,0.7
v_feeding_g01_674.avi,Feeding,30.0,173.0,800.0,1100.0,5.766666666666667
v_feeding_g01_106.avi,Feeding,30.0,87.0,800.0,1100.0,2.9
v_feeding_g01_489.avi,Feeding,30.0,39.0,800.0,1100.0,1.3
v_feeding_g01_476.avi,Feeding,30.0,69.0,800.0,1100.0,2.3
v_feeding_g01_462.avi,Feeding,30.0,1358.0,800.0,1100.0,45.266666666666666
v_feeding_g01_258.avi,Feeding,30.0,320.0,800.0,1100.0,10.666666666666666
v_feeding_g01_264.avi,Feeding,30.0,444.0,800.0,1100.0,14.8
v_feeding_g01_728.avi,Feeding,30.0,135.0,800.0,1100.0,4.5
v_feeding_g01_710.avi,Feeding,30.0,1363.0,800.0,1100.0,45.43333333333333
v_feeding_g01_704.avi,Feeding,30.0,347.0,800.0,1100.0,11.566666666666666
v_feeding_g01_328.avi,Feeding,30.0,417.0,800.0,1100.0,13.9
v_feeding_g01_300.avi,Feeding,30.0,110.0,800.0,1100.0,3.6666666666666665
v_feeding_g01_658.avi,Feeding,30.0,164.0,800.0,1100.0,5.466666666666667
v_feeding_g01_31.avi,Feeding,30.0,165.0,800.0,1100.0,5.5
v_feeding_g01_19.avi,Feeding,30.0,21.0,800.0,1100.0,0.7
v_feeding_g01_670.avi,Feeding,30.0,204.0,800.0,1100.0,6.8
v_feeding_g01_116.avi,Feeding,30.0,289.0,800.0,1100.0,9.633333333333333
v_feeding_g01_842.avi,Feeding,30.0,363.0,800.0,1100.0,12.1
v_feeding_g01_665.avi,Feeding,30.0,261.0,800.0,1100.0,8.7
v_feeding_g01_30.avi,Feeding,30.0,857.0,800.0,1100.0,28.566666666666666
v_feeding_g01_498.avi,Feeding,30.0,142.0,800.0,1100.0,4.733333333333333
v_feeding_g01_473.avi,Feeding,30.0,955.0,800.0,1100.0,31.833333333333332
v_feeding_g01_467.avi,Feeding,30.0,43.0,800.0,1100.0,1.4333333333333333
v_feeding_g01_301.avi,Feeding,30.0,75.0,800.0,1100.0,2.5
v_feeding_g01_507.avi,Feeding,30.0,90.0,800.0,1100.0,3.0
v_feeding_g01_275.avi,Feeding,30.0,55.0,800.0,1100.0,1.8333333333333333
v_feeding_g01_711.avi,Feeding,30.0,23.0,800.0,1100.0,0.7666666666666667
v_feeding_g01_707.avi,Feeding,30.0,1194.0,800.0,1100.0,39.8
v_feeding_g01_713.avi,Feeding,30.0,70.0,800.0,1100.0,2.3333333333333335
v_feeding_g01_539.avi,Feeding,30.0,320.0,800.0,1100.0,10.666666666666666
v_feeding_g01_505.avi,Feeding,30.0,599.0,800.0,1100.0,19.966666666666665
v_feeding_g01_277.avi,Feeding,30.0,95.0,800.0,1100.0,3.1666666666666665
v_feeding_g01_511.avi,Feeding,30.0,154.0,800.0,1100.0,5.133333333333334
v_feeding_g01_288.avi,Feeding,30.0,38.0,800.0,1100.0,1.2666666666666666
v_feeding_g01_471.avi,Feeding,30.0,452.0,800.0,1100.0,15.066666666666666
v_feeding_g01_317.avi,Feeding,30.0,351.0,800.0,1100.0,11.7
v_feeding_g01_303.avi,Feeding,30.0,241.0,800.0,1100.0,8.033333333333333
v_feeding_g01_465.avi,Feeding,30.0,908.0,800.0,1100.0,30.266666666666666
v_feeding_g01_129.avi,Feeding,30.0,107.0,800.0,1100.0,3.566666666666667
v_feeding_g01_115.avi,Feeding,30.0,66.0,800.0,1100.0,2.2
v_feeding_g01_698.avi,Feeding,30.0,566.0,800.0,1100.0,18.866666666666667
v_feeding_g01_699.avi,Feeding,30.0,2045.0,800.0,1100.0,68.16666666666667
v_feeding_g01_100.avi,Feeding,30.0,305.0,800.0,1100.0,10.166666666666666
v_feeding_g01_33.avi,Feeding,30.0,120.0,800.0,1100.0,4.0
v_feeding_g01_302.avi,Feeding,30.0,544.0,800.0,1100.0,18.133333333333333
v_feeding_g01_464.avi,Feeding,30.0,411.0,800.0,1100.0,13.7
v_feeding_g01_470.avi,Feeding,30.0,169.0,800.0,1100.0,5.633333333333334
v_feeding_g01_316.avi,Feeding,30.0,356.0,800.0,1100.0,11.866666666666667
v_feeding_g01_458.avi,Feeding,30.0,392.0,800.0,1100.0,13.066666666666666
v_feeding_g01_289.avi,Feeding,30.0,150.0,800.0,1100.0,5.0
v_feeding_g01_276.avi,Feeding,30.0,644.0,800.0,1100.0,21.466666666666665
v_feeding_g01_510.avi,Feeding,30.0,271.0,800.0,1100.0,9.033333333333333
v_feeding_g01_504.avi,Feeding,30.0,376.0,800.0,1100.0,12.533333333333333
v_feeding_g01_262.avi,Feeding,30.0,118.0,800.0,1100.0,3.933333333333333
v_feeding_g01_538.avi,Feeding,30.0,26.0,800.0,1100.0,0.8666666666666667
v_feeding_g01_775.avi,Feeding,30.0,101.0,800.0,1100.0,3.3666666666666667
v_feeding_g01_563.avi,Feeding,30.0,151.0,800.0,1100.0,5.033333333333333
v_feeding_g01_205.avi,Feeding,30.0,813.0,800.0,1100.0,27.1
v_feeding_g01_211.avi,Feeding,30.0,456.0,800.0,1100.0,15.2
v_feeding_g01_588.avi,Feeding,30.0,51.0,800.0,1100.0,1.7
v_feeding_g01_417.avi,Feeding,30.0,150.0,800.0,1100.0,5.0
v_feeding_g01_371.avi,Feeding,30.0,133.0,800.0,1100.0,4.433333333333334
v_feeding_g01_365.avi,Feeding,30.0,288.0,800.0,1100.0,9.6
v_feeding_g01_403.avi,Feeding,30.0,1399.0,800.0,1100.0,46.63333333333333
v_feeding_g01_68.avi,Feeding,30.0,180.0,800.0,1100.0,6.0
v_feeding_g01_615.avi,Feeding,30.0,93.0,800.0,1100.0,3.1
v_feeding_g01_601.avi,Feeding,30.0,156.0,800.0,1100.0,5.2
v_feeding_g01_97.avi,Feeding,30.0,503.0,800.0,1100.0,16.766666666666666
v_feeding_g01_198.avi,Feeding,30.0,557.0,800.0,1100.0,18.566666666666666
v_feeding_g01_199.avi,Feeding,30.0,48.0,800.0,1100.0,1.6
v_feeding_g01_82.avi,Feeding,30.0,218.0,800.0,1100.0,7.266666666666667
v_feeding_g01_2.avi,Feeding,30.0,987.0,800.0,1100.0,32.9
v_feeding_g01_55.avi,Feeding,30.0,1069.0,800.0,1100.0,35.63333333333333
v_feeding_g01_600.avi,Feeding,30.0,59.0,800.0,1100.0,1.9666666666666666
v_feeding_g01_166.avi,Feeding,30.0,76.0,800.0,1100.0,2.533333333333333
v_feeding_g01_172.avi,Feeding,30.0,630.0,800.0,1100.0,21.0
v_feeding_g01_364.avi,Feeding,30.0,384.0,800.0,1100.0,12.8
v_feeding_g01_370.avi,Feeding,30.0,457.0,800.0,1100.0,15.233333333333333
v_feeding_g01_238.avi,Feeding,30.0,154.0,800.0,1100.0,5.133333333333334
v_feeding_g01_210.avi,Feeding,30.0,837.0,800.0,1100.0,27.9
v_feeding_g01_562.avi,Feeding,30.0,635.0,800.0,1100.0,21.166666666666668
v_feeding_g01_204.avi,Feeding,30.0,180.0,800.0,1100.0,6.0
v_feeding_g01_760.avi,Feeding,30.0,107.0,800.0,1100.0,3.566666666666667
v_feeding_g01_776.avi,Feeding,30.0,126.0,800.0,1100.0,4.2
v_feeding_g01_574.avi,Feeding,30.0,963.0,800.0,1100.0,32.1
v_feeding_g01_366.avi,Feeding,30.0,150.0,800.0,1100.0,5.0
v_feeding_g01_414.avi,Feeding,30.0,1045.0,800.0,1100.0,34.833333333333336
v_feeding_g01_428.avi,Feeding,30.0,86.0,800.0,1100.0,2.8666666666666667
v_feeding_g01_399.avi,Feeding,30.0,169.0,800.0,1100.0,5.633333333333334
v_feeding_g01_164.avi,Feeding,30.0,454.0,800.0,1100.0,15.133333333333333
v_feeding_g01_602.avi,Feeding,30.0,180.0,800.0,1100.0,6.0
v_feeding_g01_616.avi,Feeding,30.0,168.0,800.0,1100.0,5.6
v_feeding_g01_170.avi,Feeding,30.0,1738.0,800.0,1100.0,57.93333333333333
